,temp,humidity,PM25,light,band1,band2,band3,band4,band5,band6,band7,lat,lon,dss
5072,26.039666666666665,36.094,1.7478333333333333,55.61812500000001,10078.0,10837.0,11830.0,12369.0,13156.0,13576.0,12761.0,41.903335,-87.6674,82
5074,22.775375,66.972,1.4103333333333332,51.58120833333333,11085.0,11996.0,13210.0,14108.0,15088.0,15430.0,14047.0,41.884607,-87.624577,82
5075,26.559250000000002,43.86716666666666,1.2610833333333336,23.925708333333336,10825.0,11245.0,11812.0,12093.0,17717.0,15612.0,13445.0,41.9140942,-87.683022,82
5076,22.768500000000003,64.59533333333333,2.2333333333333334,24.64925,11671.0,12782.0,13847.0,14832.0,18264.0,16076.0,13251.0,41.878377,-87.627678,82
5077,27.29533333333333,41.86483333333333,5.112583333333333,80.63691666666666,9083.0,9209.0,10297.0,10535.0,13470.0,13006.0,12296.0,41.84241,-87.724499,82
5078,28.041583333333335,53.08375000000001,0.4088333333333334,56.17845833333333,9937.0,10510.0,11114.0,11493.0,14020.0,14321.0,13028.0,41.880732,-87.72565999999999,82
5079,26.034875,50.00675000000001,4.365666666666667,55.165083333333335,9582.0,9812.0,10688.0,10892.0,11855.0,11637.0,11251.0,41.857959,-87.65642700000001,82
5081,26.956583333333327,66.25433333333334,0.09258333333333331,67.38229166666666,11004.0,11776.0,13115.0,13611.0,15242.0,15322.0,14032.0,41.65849,-87.559113,82
5082,28.734791666666666,71.86466666666666,5.998666666666668,68.40920833333332,9200.0,9320.0,10169.0,10194.0,17133.0,14090.0,11430.0,41.666078000000006,-87.539374,82
5083,22.86066666666667,65.27,3.9728333333333326,79.73195833333334,9029.0,9560.0,10998.0,10962.0,17147.0,14349.0,12235.0,41.954825,-87.645248,82
5084,25.682000000000002,43.00716666666667,0.24200000000000002,53.611999999999995,10180.0,10689.0,11800.0,12256.0,12978.0,13958.0,13489.0,41.75034,-87.66351800000001,82
5085,26.70075,44.133,0.842,67.39795833333334,10016.0,10860.0,12022.0,12682.0,15044.0,14995.0,13767.0,41.786756,-87.664343,82
5086,24.77275,85.17708333333334,7.178750000000001,24.313125,14271.0,15300.0,17019.0,17535.0,18093.0,18511.0,16207.0,41.794167,-87.601646,82
5087,28.616249999999997,43.058166666666665,11.057333333333334,28.023750000000003,8614.0,8611.0,8784.0,8497.0,8702.0,8430.0,8054.0,41.736314,-87.624179,82
5088,28.281208333333336,40.18399999999999,0.9877500000000001,60.78162500000001,12708.0,13114.0,14861.0,15539.0,16701.0,15679.0,14276.0,41.751142,-87.71299,82
5089,26.10104166666667,46.587916666666665,1.049333333333333,68.315625,10659.0,11054.0,12494.0,12849.0,13139.0,14258.0,13433.0,41.946731,-87.68825799999999,82
5090,26.972583333333336,100.0,0.0175,54.37595833333333,9889.0,10423.0,11746.0,12216.0,13908.0,14273.0,12984.0,41.714494,-87.64309899999999,82
5091,35.418375000000005,56.43483333333333,1.4845,54.82841666666667,11940.0,12792.0,14032.0,14996.0,16545.0,16034.0,14368.0,41.88575,-87.62969,82
5092,26.79745833333334,62.01570833333334,1.0849999999999997,55.76287500000001,10837.0,11251.0,12011.0,12567.0,13925.0,14597.0,13515.0,41.857797,-87.685806,82
5093,25.11233333333334,100.0,6.639,61.84854166666667,12651.0,14278.0,14552.0,15514.0,17949.0,18244.0,15687.0,41.968757000000004,-87.679174,82
5094,28.585124999999994,66.99141666666667,8.406,81.15479166666667,13806.0,15139.0,16036.0,16980.0,19279.0,20646.0,17690.0,41.751238,-87.71299,82
5095,29.33616666666667,35.407999999999994,2.5215833333333335,55.55366666666668,12568.0,13334.0,14545.0,15106.0,15742.0,17888.0,17416.0,41.751295,-87.605288,82
5096,25.782083333333336,47.570666666666675,0.33325,24.092875000000003,10272.0,10824.0,11889.0,12267.0,13408.0,14324.0,13276.0,41.768319,-87.683396,82
5097,25.65075,45.64633333333333,0.8180833333333332,25.408999999999995,10280.0,10781.0,11739.0,12053.0,13923.0,14574.0,13696.0,41.943263,-87.688069,82
5098,25.50825,82.1025,0.7168333333333332,82.18304166666665,10636.0,10941.0,12583.0,12846.0,14087.0,15538.0,14819.0,41.965256,-87.66672,82
5099,25.844166666666666,57.29591666666666,10.321833333333332,56.14420833333333,8947.0,9378.0,9540.0,9310.0,14522.0,12237.0,10459.0,41.965089,-87.679076,82
5100,27.079250000000002,100.0,7.720916666666667,36.632083333333334,27379.0,29011.0,29670.0,30629.0,34212.0,32844.0,28197.0,41.794477,-87.615957,82
5101,27.221541666666667,57.293333333333344,5.555000000000001,55.564125,9367.0,9297.0,9982.0,9609.0,16513.0,13009.0,10662.0,41.810342,-87.590228,82
5102,26.082125,53.98000000000001,1.7631666666666668,68.2245416666667,11501.0,12182.0,12815.0,13295.0,14757.0,15448.0,14451.0,41.924903,-87.687703,82
5103,26.929666666666673,42.35524999999999,0.38625,55.01591666666667,10896.0,11738.0,13192.0,13688.0,14083.0,15086.0,14079.0,41.779369,-87.66442099999999,82
5104,25.29116666666667,66.12166666666667,1.5104166666666667,55.54637499999999,10705.0,11106.0,11743.0,12073.0,13585.0,13974.0,12988.0,41.866786,-87.666306,82
5105,24.801041666666666,51.74400000000001,1.2729166666666667,54.75904166666667,10475.0,10729.0,11857.0,12077.0,14696.0,14743.0,13367.0,41.921405,-87.677766,82
5106,25.471708333333336,48.605500000000006,0.7456666666666667,40.600875,10662.0,11341.0,12136.0,12764.0,15259.0,15499.0,13948.0,41.839065999999995,-87.665685,82
5108,25.330375,73.15758333333333,4.00875,56.49770833333333,9777.0,10013.0,10786.0,10836.0,13482.0,12654.0,11505.0,41.882304,-87.671773,82
5110,29.416666666666668,46.81425000000001,0.46225000000000005,55.62383333333332,10365.833333333332,10737.458333333332,11778.416666666662,12233.5,13281.8125,14412.0625,13671.5625,41.866349,-87.710543,83
5111,28.906541666666666,53.34550000000001,0.3518333333333333,56.18899999999999,9927.5,10502.270833333332,11100.895833333338,11480.104166666662,13999.791666666659,14300.979166666659,13009.666666666662,41.880732,-87.72565999999999,83
5112,29.347666666666665,44.30375000000001,4.387416666666668,80.63616666666667,9048.770833333332,9164.979166666668,10258.791666666668,10486.520833333332,13417.75,12942.041666666662,12241.083333333338,41.84241,-87.724499,83
5113,25.302625000000003,87.652,1.4157499999999998,24.636333333333337,11277.083333333338,12218.083333333338,12957.6875,13470.666666666659,14419.833333333341,15414.1875,14726.5625,41.961622,-87.665948,83
5114,25.887,100.0,5.680750000000001,60.70591666666667,12636.020833333338,14289.958333333341,14497.625,15476.229166666659,17956.4375,18204.833333333325,15645.9375,41.968757000000004,-87.679174,83
5115,29.716333333333335,68.16175,7.880833333333334,81.15520833333333,13821.0625,15162.375,16033.895833333341,16984.625,19265.3125,20614.3125,17650.8125,41.751238,-87.71299,83
5116,28.314249999999998,45.98833333333334,2.6130833333333334,39.92479166666667,9007.354166666668,9572.3125,10470.979166666668,10786.020833333332,13085.541666666662,13162.375,12123.8125,41.808594,-87.665048,83
5117,27.465833333333332,74.985,1.8680833333333335,68.40650000000001,10969.47916666667,11557.916666666662,12581.895833333338,12960.916666666662,14635.916666666659,15273.916666666659,14113.291666666659,41.896157,-87.662391,83
